text,true_label,predicted_label
"Halliburton leading contender in construction of British aircraft carriers: report (AFP) - AFP - Halliburton, the oil services giant once run by US Vice President Dick Cheney, has emerged as a leading contender to manage the construction of two British aircraft carriers, The Sunday Telegraph said.",0,2
"Court: File-swapping software not liable for copyright violations - The makers of two leading file-sharing programs are not legally liable for the songs, movies and other copyright works swapped online by their users, a federal appeals court ruled Thursday in a stinging blow to the entertainment industry. ",3,2
"EA Signs Five-Year Exclusive NFL Deal - Electronic Arts announced an exclusive licensing relationships with the National Football League and PLAYERS INC to develop, publish and distribute interactive football games.",1,3
"Young People Practicing Unhealthy Habits - They show greatest increase in smoking, obesity and poor eating, study says    HealthDayNews -- Smoking, obesity and poor eating habits increased among young people in the United States in the 1990s, a trend that may lead to higher future rates of cancer, heart disease, diabetes and lung disease as that generation ages.    That warning comes from a study in the September/October issue of the American Journal of Health Promotion...",3,0
Research Is Definitely in Motion - The Blackberry wireless device maker is straining to exceed expectations.,2,3
"Rogers Wireless Whistles and Fido Responds - Its official. Microcell Telecommunications Fido wireless service will be the new dog in Rogers Wireless Communications Canadian kennel, and that puppy wasnt cheap.",2,3
"Google targets software giant  - SEATTLE -- Not too long ago, Google Inc. seemed little more than a pesky insect to Microsoft Corp.'s 800-pound gorilla.",2,3
"Linux: Paris weighs a shift to open-source camp - PARIS The open-source computer system known as Linux won a tough battle over Microsoft earlier this year when the city of Munich decided to change the operating software of 14,000 government computers, despite the personal intervention of Steve Ballmer ",2,3
Judge Declines to Dismiss Steroid Case (AP) - AP - A judge declined to dismiss charges against four men accused of distributing steroids to top athletes amid accusations that prosecutors illegally searched a nutritional supplement lab and the house and car of Barry Bonds' trainer.,1,0
FDA OKs Kit Used with Hemophilia Therapy -  CHICAGO (Reuters) - Wyeth Pharmaceuticals said on Monday it  received U.S. regulatory approval for a kit designed to help  patients with the blood disorder hemophilia get regular  treatments more quickly and safely.,2,3
Court ruling has fat cats purring - THE future of horseracing in Britain was thrown into confusion this week as a result of a judgment by the European Court of Justice.,3,0
"Motorola Quarterly Earnings Rise - Motorola Inc., the world's No. 2 maker of cell phones, on Tuesday said its quarterly profit\more than tripled, as sales rose 26 percent, driven in part by a host of new handset models and cost controls.",3,2
Qatar Defense Show Focuses on Videogame Technology -  DOHA (Reuters) - Rick Bracewell is driving through Baghdad  when gunmen open fire. Then a nearby dead dog strapped with  explosives blows up and his vehicle goes up in flames.,3,0
"Software revenue pushes up Oracle #39;s Q2 earnings - Oracle Corp. reported second-quarter 2005 earnings that beat analyst expectations on Monday, thanks to new software revenue and continued gains from license updates and product support.",2,3
"U.S. Men's Hoops Team Finally Gets a Rout - ATHENS, Greece - The Americans got a taste of what it was like in the good ol' days. They finally played an opponent they were able to beat easily, routing Angola 89-53 Monday in their final preliminary game of the Olympic men's basketball tournament...",0,1
